Year	Race	JRelative
2009	API	-0.47458952306489444
2016	API	-0.13038849086979118
2014	API	-0.12643315990342543
2014	API	-0.4056881333769206
2015	White	-0.31394867496162815
2014	White	0.7757752159340204
2015	White	0.16755007221535834
2014	White	1.3915682343627533
2018	White	-0.3662513968792683
2014	White	1.806870502605387
2014	API	0.12418027782919841
2014	White	0.26022757259833706
2015	White	-0.31394867496162815
2014	API	0.23158603685746576
2015	White	-0.3322091994692614
2014	White	0.8187375195453274
2014	White	0.0024537509304953927
2014	Black	0.4463975549140005
2014	White	0.4177560191731292
2014	White	-0.24815968680212847
2014	White	0.6254071532944461
2014	API	0.15998219750528753
2014	White	0.03109528667136669
2014	API	-0.20890795791194197
2015	API	-0.36397325074567605
2015	API	-0.4783151382520714
2014	API	-0.06534956019820252
2014	White	1.0192282697314263
2014	API	1.0979924930188225
2014	White	-0.3842069815712671
2014	API	0.47503909065487177
2014	API	-0.047668936616029375
2014	API	0.13760343242414955
2014	API	-0.1407539277738611
2014	API	0.18336908775155786
2014	API	-0.1806635754984243
2015	API	-0.6355352335733649
2015	API	-0.5211933460669697
2015	API	-0.4926078741903708
2014	API	-0.634820419303891
2014	White	2.2006916190423675
2014	API	-0.04050855268081155
2015	White	-0.1924604194860831
2015	White	-0.7856089609255088
2015	White	-0.2185426802299868
2015	White	-0.4425832984063229
2014	White	0.2667492260061919
2015	White	-0.20675315542438252
2015	API	-0.0924112679179872
2015	White	-0.2160198638955306
2014	White	0.03825567060658452
2015	White	0.6436646329044327
2014	API	1.198237868111872
2015	White	-0.1781676835477837
2015	White	-0.3997050905914246
2014	White	0.7741444133808928
2015	API	-0.32824141089992753
2015	API	-0.292509571054179
2015	API	-0.5426324499744187
2015	API	-0.28536320308502927
2015	API	-0.5998033937276164
2015	API	-0.48950123456790123
2014	API	0.2356726938400245
2014	API	-0.026187784810375904
2015	API	-0.6212424976350656
2014	API	1.4202097701036247
2014	API	-0.04050855268081155
2015	Hispanic	-0.2560577819198508
2015	API	-0.656974337480814
2014	API	0.38360576923076917
2014	White	0.24874859536214117
2015	API	-0.14243584370203516
2014	White	0.05973682241223799
2014	API	-0.047668936616029375
2015	API	0.0004915156809589838
2015	White	-0.14243584370203516
2015	White	-0.4782814814814815
2015	API	-0.3819383016364441
2014	White	0.754294064128367
2015	API	-0.6498279695116643
2014	White	0.26022757259833706
2015	White	-0.08600645142981463
2014	API	0.632567537229664
2014	White	-0.03334816874559373
