FID	FieldName
0	Medicine
1	Biology
2	Geology
3	Chemistry
4	Philosophy
5	Physics
6	Psychology
7	Engineering
8	Materials science
9	Political science
10	Sociology
11	Mathematics
12	Economics
13	Computer science
14	Art
15	History
16	Geography
17	Business
18	Environmental science
