Fields
162853370
1965285
44154836
53553401
185544564
49204034
15708023
159047783
98274493
89423630
155202549
41895202
548259974
134018914
142724271
115903868
191897082
178980831
75630572
111919701
528095902
105639569
118552586
118084267
11171543
26873012
75473681
70721500
545542383
42360764
23123220
149635348
178550888
11413529
138921699
18903297
54355233
42972112
97137747
33332235
52119013
121955636
3116431
526734887
78519656
43617362
170154142
50522688
167562979
56739046
19165224
502942594
29694066
146978453
13280743
112698675
33577790
73283319
138496976
202444582
78762247
87355193
28490314
188027245
112930515
151730666
16674752
539667460
42219234
34447519
97355855
171250308
100001284
28826006
106159729
134306372
199360897
144027150
165556158
119767625
195094911
124952713
10138342
62649853
140793950
49040817
38652104
116915560
107872376
177713679
12554922
49774154
74916050
126894567
46312422
120665830
199639397
199539241
95444343
124101348
145236788
133731056
548081761
13736549
136229726
74363100
159110408
22212356
126794175
184779094
37914503
145420912
147597530
195244886
31258907
187212893
199104240
21951064
2989005
512399662
187320778
29595303
19527891
70410870
133425853
88463610
136764020
190253527
77088390
94375191
36289849
201995342
126255220
21880701
44870925
59822182
153294291
115704247
179104552
39549134
9390403
55587333
2522767166
159467904
42475967
510606860
79403827
126838900
26271046
549774020
505870484
45355965
150903083
3079626
21547014
148383697
509550671
33070731
54286561
149923435
6557445
147176958
200601418
4249254
62520636
117671659
121864883
188147891
136264566
143998085
162118730
61434518
78458016
186060115
149782125
54750564
131872663
119857082
159390177
118524514
199343813
8058405
147789679
55493867
31972630
90856448
87717796
178790620
178802073
41999313
24667770
105702510
542102704
524765639
114614502
48824518
126348684
187736073
556039675
107826830
27206212
5900021
90924648
105795698
42407357
183696295
17409809
30475298
31903555
16005928
126322002
99508421
76155785
459310
556758197
71240020
107457646
177322064
134560507
171146098
166957645
95124753
118487528
91375879
29456083
204321447
8010536
6303427
199289684
161191863
61696701
60644358
1276947
111368507
19417346
180747234
109214941
125565743
121684516
175605778
1862650
77805123
73484699
24326235
159985019
120314980
153911025
141071460
65244806
144237770
37621935
13965031
91586092
66938386
203014093
107993555
154945302
24890656
47768531
175444787
58640448
118615104
37037264
139719470
153349607
107038049
194828623
100970517
16685009
18547055
164705383
107053488
77595967
119599485
155647269
169760540
74909509
108827166
40700
80444323
46141821
74650414
2549261
114793014
57879066
165205528
110354214
113775141
173608175
111472728
2524010
99454951
