FieldName	Year	Race
Medicine	2014	White
Biology	2014	White
Psychology	2014	White
Medicine	2014	White
Biology	2014	White
Psychology	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2014	White
Chemistry	2014	White
Medicine	2014	White
Biology	2014	White
Psychology	2014	White
Medicine	2014	White
Biology	2014	White
Psychology	2014	White
Biology	2012	White
Biology	2012	White
Medicine	2012	White
Biology	2012	White
Psychology	2012	White
Medicine	2012	White
Biology	2012	White
Psychology	2012	White
Medicine	2012	White
Biology	2012	White
Psychology	2012	White
Computer science	2012	White
Medicine	2012	White
Biology	2012	White
Psychology	2012	White
Computer science	2012	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Computer science	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Computer science	2013	White
Medicine	2016	White
Biology	2016	White
Psychology	2016	White
Medicine	2016	White
Biology	2016	White
Psychology	2016	White
Biology	2015	White
Psychology	2015	White
Biology	2015	White
Psychology	2015	White
Medicine	2015	White
Biology	2015	White
Psychology	2015	White
Medicine	2015	White
Biology	2015	White
Psychology	2015	White
Medicine	2017	White
Biology	2017	White
Chemistry	2017	White
Psychology	2017	White
Medicine	2017	White
Biology	2017	White
Chemistry	2017	White
Psychology	2017	White
Medicine	2017	White
Biology	2017	White
Chemistry	2017	White
Psychology	2017	White
Medicine	2017	White
Biology	2017	White
Chemistry	2017	White
Psychology	2017	White
Biology	2018	White
Psychology	2018	White
Biology	2018	White
Psychology	2018	White
Biology	2018	White
Psychology	2018	White
Physics	2018	White
Mathematics	2018	White
Computer science	2018	White
Physics	2018	White
Mathematics	2018	White
Computer science	2018	White
Physics	2018	White
Mathematics	2018	White
Computer science	2018	White
Physics	2018	White
Engineering	2018	White
Physics	2018	White
Engineering	2018	White
Physics	2018	White
Engineering	2018	White
Medicine	2018	White
Biology	2018	White
Psychology	2018	White
Medicine	2018	White
Biology	2018	White
Psychology	2018	White
Medicine	2018	White
Biology	2018	White
Psychology	2018	White
Philosophy	2014	API
Physics	2014	API
Mathematics	2014	API
Computer science	2014	API
Biology	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Economics	2013	API
Computer science	2013	API
Medicine	2013	API
Mathematics	2013	API
Biology	2013	API
Chemistry	2013	API
Mathematics	2013	API
Computer science	2013	API
Biology	2013	API
Chemistry	2013	API
Mathematics	2015	API
Medicine	2013	API
Biology	2013	API
Geology	2013	API
Chemistry	2013	API
Medicine	2013	API
Biology	2013	API
Geology	2013	API
Chemistry	2013	API
Medicine	2013	API
Biology	2013	API
Chemistry	2013	API
Physics	2013	API
Biology	2013	API
Geology	2013	API
Biology	2013	API
Chemistry	2013	API
Medicine	2013	API
Biology	2013	API
Geology	2013	API
Biology	2013	API
Biology	2013	API
Geology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Geology	2013	API
Biology	2013	API
Geology	2013	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Physics	2012	API
Medicine	2012	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Geology	2012	API
Biology	2012	API
Chemistry	2012	API
Medicine	2012	API
Biology	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Physics	2012	API
Medicine	2012	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Medicine	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Medicine	2012	API
Biology	2012	API
Medicine	2012	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Medicine	2012	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Medicine	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Physics	2012	API
Biology	2012	API
Medicine	2012	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Medicine	2012	API
Biology	2012	API
Geology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Medicine	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Business	2011	API
Medicine	2011	API
Biology	2011	API
Geology	2011	API
Chemistry	2011	API
Physics	2011	API
Biology	2011	API
Geology	2011	API
Medicine	2011	API
Biology	2011	API
Geology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Geology	2011	API
Chemistry	2011	API
Biology	2011	API
Business	2011	API
Biology	2011	API
Geology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Medicine	2011	API
Biology	2011	API
Geology	2011	API
Chemistry	2011	API
Medicine	2011	API
Biology	2011	API
Geology	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Geology	2011	API
Chemistry	2011	API
Biology	2011	API
Geology	2011	API
Chemistry	2011	API
Physics	2011	API
Biology	2011	API
Geology	2011	API
Medicine	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Geology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Biology	2011	API
Chemistry	2011	API
Medicine	2011	API
Biology	2011	API
Medicine	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Biology	2014	API
Geology	2014	API
Biology	2014	API
Geology	2014	API
Chemistry	2014	API
Biology	2015	API
Chemistry	2015	API
Physics	2015	API
Engineering	2015	API
Biology	2015	API
Geology	2015	API
Medicine	2015	API
Biology	2015	API
History	2015	API
Geography	2015	API
Mathematics	2019	API
Computer science	2019	API
Medicine	2019	API
Biology	2019	API
Computer science	2019	API
Computer science	2020	API
Physics	2019	White
Mathematics	2019	White
Physics	2019	White
Mathematics	2019	White
Biology	2017	White
Chemistry	2017	White
Biology	2017	White
Chemistry	2017	White
Biology	2017	White
Chemistry	2017	White
Medicine	2017	White
Biology	2017	White
Medicine	2017	White
Biology	2017	White
Medicine	2017	White
Biology	2017	White
Biology	2017	White
Chemistry	2017	White
Biology	2017	White
Chemistry	2017	White
Biology	2017	White
Chemistry	2017	White
Medicine	2020	White
Biology	2020	White
Biology	2014	White
Geology	2014	White
Chemistry	2014	White
Physics	2014	White
Biology	2014	White
Geology	2014	White
Chemistry	2014	White
Physics	2014	White
Biology	2014	White
Chemistry	2014	White
Physics	2014	White
Biology	2014	White
Chemistry	2014	White
Physics	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2013	White
Chemistry	2013	White
Biology	2013	White
Chemistry	2013	White
Medicine	2013	White
Biology	2013	White
Chemistry	2013	White
Philosophy	2013	White
Physics	2013	White
Psychology	2013	White
Art	2013	White
Medicine	2013	White
Biology	2013	White
Chemistry	2013	White
Philosophy	2013	White
Physics	2013	White
Psychology	2013	White
Art	2013	White
Biology	2013	White
Chemistry	2013	White
Biology	2013	White
Chemistry	2013	White
Physics	2013	White
Engineering	2013	White
Materials science	2013	White
Mathematics	2013	White
Physics	2013	White
Engineering	2013	White
Materials science	2013	White
Mathematics	2013	White
Medicine	2013	White
Biology	2013	White
Chemistry	2013	White
Medicine	2013	White
Biology	2013	White
Chemistry	2013	White
Biology	2013	White
Chemistry	2013	White
Biology	2013	White
Chemistry	2013	White
Biology	2013	White
Biology	2013	White
Physics	2013	White
Physics	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Medicine	2013	White
Biology	2013	White
Psychology	2013	White
Medicine	2013	White
Biology	2013	White
Medicine	2013	White
Biology	2013	White
Biology	2013	White
Chemistry	2013	White
Biology	2013	White
Chemistry	2013	White
Computer science	2012	White
Computer science	2012	White
Medicine	2012	White
Biology	2012	White
Computer science	2012	White
Medicine	2012	White
Biology	2012	White
Computer science	2012	White
Medicine	2012	White
Biology	2012	White
